Merchant_ID,Merchant_Name,Category,City,State
M200049,Iyengar-Hayre,Food Delivery,Ambattur,Chhattisgarh
M200050,"Desai, Solanki and Vyas",Clothing,Eluru,Meghalaya
M200051,Kohli-Bajwa,Food Delivery,Aurangabad,Manipur
M200052,Salvi Ltd,Travel,Hajipur,Nagaland
M200053,Gour Ltd,Clothing,Jorhat,Odisha
M200054,"Borah, Bahl and Golla",Clothing,Indore,West Bengal
M200055,Khatri-Bumb,Clothing,Latur,Mizoram
M200056,"Doctor, Varma and Varma",Travel,Hazaribagh,Uttarakhand
M200057,Sankaran-Koshy,Grocery,Kottayam,Nagaland
M200058,Chauhan-Sen,Grocery,Ahmednagar,Tamil Nadu
M200059,Sankaran-Ravel,Travel,Saharsa,Andhra Pradesh
M200060,Mand-Chad,,Secunderabad,Arunachal Pradesh
M200061,"Mander, Sarin and Dey",Grocery,Phagwara,Mizoram
M200062,Jayaraman Inc,Electronics,Ambarnath,Kerala
M200063,Bhatia-Dugar,Education,Hubli–Dharwad,Sikkim
M200064,Mander-Basak,Clothing,Shivpuri,Punjab
M200065,Dara Ltd,Travel,Lucknow,Arunachal Pradesh
M200066,Shah-Tata,Recharge,Muzaffarpur,Odisha
M200067,"Kamdar, Thaker and Chada",Clothing,Chandigarh,Odisha
M200068,Setty LLC,Education,Raurkela Industrial Township,Haryana
M200069,Amble-Chandran,Grocery,Hospet,Tripura
M200070,"Mani, Mander and Ghosh",Food Delivery,Khammam,Goa
M200071,Sur LLC,Travel,Jalandhar,Chhattisgarh
M200072,Lad Ltd,Education,Pudukkottai,Haryana
M200073,Manne LLC,Grocery,Lucknow,Mizoram
M200074,Brar-Kibe,Electronics,Ahmednagar,Rajasthan
M200075,Lad Inc,Grocery,Bulandshahr,Haryana
M200076,Behl LLC,Food Delivery,Agartala,Arunachal Pradesh
M200077,Bali-Lanka,Travel,Jalandhar,Maharashtra
M200078,Sawhney-Mander,Electronics,Bidhannagar,Tamil Nadu
M200079,"Amble, Shan and Rastogi",Grocery,Akola,Odisha
M200080,D’Alia-Mammen,Education,Siliguri,Tripura
M200081,Bassi-Raju,Education,Satna,Karnataka
M200082,Kant-Bava,Education,Bally,Kerala
M200083,Yogi-Gokhale,Travel,Anantapuram,Tripura
M200084,Agate PLC,Food Delivery,Purnia,Haryana
M200085,Choudhary Group,Travel,Imphal,Telangana
M200086,"Lad, Roy and Rout",Education,Morena,Bihar
M200087,Basak LLC,Recharge,Panchkula,Manipur
M200088,Cherian-Chaudhuri,Food Delivery,Agartala,Assam
M200089,Hans-Kari,Food Delivery,Darbhanga,Uttarakhand
M200090,"Chadha, Kant and Sekhon",Education,Nashik,Himachal Pradesh
M200091,"Som, Kunda and Mannan",Electronics,Ghaziabad,Punjab
M200092,Guha PLC,Clothing,Shahjahanpur,Meghalaya
M200093,Ahuja-Ahluwalia,Clothing,Nagaon,Uttar Pradesh
M200094,Das Ltd,Food Delivery,Yamunanagar,Tripura
M200095,"Sura, Sanghvi and Dash",Education,Pallavaram,Madhya Pradesh
M200096,Saini and Sons,Grocery,Aurangabad,Madhya Pradesh
M200097,Dar and Sons,Education,Bathinda,Odisha
M200098,Chhabra-Gaba,Recharge,Giridih,Andhra Pradesh
M200099,"Dass, Zachariah and Borah",Travel,Bhind,Gujarat
M200100,"Goda, Kanda and Chakrabarti",Grocery,Bhatpara,Andhra Pradesh
M200101,Samra PLC,Electronics,Uluberia,Himachal Pradesh
M200102,"Dixit, Bal and Gera",Electronics,Guntakal,Bihar
M200103,Dixit-Krishnamurthy,Electronics,Tinsukia,Assam
M200104,"Raja, Yohannan and Soni",Travel,Nadiad,Tripura
M200105,Jhaveri-Das,Recharge,Darbhanga,Chhattisgarh
M200106,Contractor and Sons,Clothing,Ajmer,Chhattisgarh
M200107,Devi-Mallick,Grocery,Surat,Maharashtra
M200108,Lall-Arora,Clothing,Alwar,Tripura
M200109,Wason PLC,Education,Rajahmundry,Haryana
M200110,"Seth, Sarin and Dua",Recharge,Erode,Maharashtra
M200111,Srinivasan PLC,Clothing,Gaya,Goa
M200112,Mangat-D’Alia,Food Delivery,Raurkela Industrial Township,West Bengal
M200113,Sampath PLC,Grocery,Shivpuri,Goa
M200114,Jayaraman LLC,Food Delivery,Jamnagar,Odisha
M200115,"Buch, Ganguly and Sen",Clothing,Nangloi Jat,Maharashtra
M200116,Balasubramanian-Raju,Grocery,Tiruppur,Madhya Pradesh
M200117,Tata LLC,Education,Ozhukarai,Telangana
M200118,"Dyal, Mall and Khalsa",Grocery,Thiruvananthapuram,Manipur
M200119,Date PLC,Grocery,Hosur,West Bengal
M200120,Tailor-Bhakta,Travel,Thrissur,Gujarat
M200121,Kanda-Issac,Grocery,Bidhannagar,Nagaland
M200122,"Bansal, Loke and Sehgal",Clothing,Farrukhabad,Telangana
M200123,Dhar Inc,Travel,Nagercoil,Himachal Pradesh
M200124,"Khosla, Loke and Din",Education,Jamnagar,Mizoram
M200125,"Arora, Sachdev and Manne",Electronics,Nagpur,Telangana
M200126,"Setty, Badami and Sodhi",Travel,Rajkot,Meghalaya
M200127,"Shetty, Suresh and Shukla",Food Delivery,Ulhasnagar,Madhya Pradesh
M200128,"Setty, Vyas and Chadha",Travel,Anantapuram,Sikkim
M200129,"Ratti, Yohannan and Yohannan",Grocery,Alwar,Chhattisgarh
M200130,"Bose, Lalla and Mann",Clothing,Agra,Bihar
M200131,Talwar-Bhagat,Travel,Bharatpur,Haryana
M200132,Bhasin-Bajaj,Education,Chennai,Meghalaya
M200133,Agate-Sanghvi,Education,Purnia,Nagaland
M200134,Lalla-Srivastava,Food Delivery,Mangalore,Tripura
M200135,Bhatti-Tak,Education,Parbhani,Meghalaya
M200136,Bobal Inc,Education,Raiganj,Chhattisgarh
M200137,Joshi and Sons,Clothing,Khandwa,Meghalaya
M200138,Saha-Behl,Education,Rajahmundry,Jharkhand
M200139,Jain-Ranganathan,Grocery,Solapur,Uttar Pradesh
M200140,Sant Ltd,Electronics,Nandyal,Andhra Pradesh
M200141,Kota-Sarma,Travel,Warangal,Odisha
M200142,"Chakraborty, Bansal and Sama",Travel,Bellary,Gujarat
M200143,Guha and Sons,Recharge,Tiruppur,Goa
M200144,"Kala, Boase and Wable",Clothing,Kolkata,Madhya Pradesh
M200145,Mangal-Rao,Recharge,Khammam,Bihar
M200146,Sani Ltd,Education,Sirsa,Bihar
M200147,"Gokhale, Khurana and Lanka",Recharge,Bhubaneswar,Assam
M200148,Bhasin PLC,Travel,Gandhinagar,Gujarat
M200149,De Group,Electronics,Allahabad,Uttar Pradesh
M200150,Hora-Kannan,Electronics,Muzaffarpur,West Bengal
M200151,Bal-Kashyap,Food Delivery,Bhiwani,Goa
M200152,Krishna-Banik,Clothing,North Dumdum,Meghalaya
M200153,Bhatia Inc,Grocery,Gulbarga,Nagaland
M200154,Butala-Johal,Food Delivery,Fatehpur,Tamil Nadu
M200155,Buch Ltd,Grocery,Moradabad,Karnataka
M200156,Ghose LLC,Electronics,Proddatur,Kerala
M200157,"Deshpande, Soman and Sarna",Clothing,Darbhanga,Chhattisgarh
M200158,Bail-Chaudhary,Electronics,Udaipur,Odisha
M200159,Brar-Mangal,Clothing,Berhampore,Tamil Nadu
M200160,Tak and Sons,Clothing,Amritsar,Telangana
M200161,Kumer-Kothari,Food Delivery,Jamnagar,Uttar Pradesh
M200162,Ganguly and Sons,Grocery,Ulhasnagar,Bihar
M200163,Luthra Ltd,Recharge,Gurgaon,Chhattisgarh
M200164,"Badal, Comar and Venkatesh",Food Delivery,Sikar,Haryana
M200165,Tailor-Sood,Education,Mira-Bhayandar,Maharashtra
M200166,"Dewan, Lala and Batta",Travel,Bhopal,Punjab
M200167,Loke-Ganesh,Recharge,Sultan Pur Majra,Uttar Pradesh
M200168,Choudhary-Bahl,Clothing,Jalandhar,Goa
M200169,"Wadhwa, Seth and Gokhale",Electronics,Mahbubnagar,Meghalaya
M200170,Zachariah-Vig,Electronics,Ramgarh,Telangana
M200171,Hans-Datta,Grocery,Dehri,Mizoram
M200172,"Wason, Manne and Choudhry",Electronics,Udupi,Tripura
M200173,"Sahota, Bhalla and Sehgal",Food Delivery,Siwan,Punjab
M200174,Srinivasan-Mandal,Recharge,Tenali,Kerala
M200175,Randhawa Group,Clothing,Vellore,Madhya Pradesh
M200176,"Vohra, Gupta and Chaudhary",Clothing,Agartala,Mizoram
M200177,"Kari, Dhillon and Dugar",Education,Jammu,Chhattisgarh
M200178,Varughese Group,Grocery,Tadipatri,Telangana
M200179,"Cheema, Borra and Keer",Electronics,Satna,Manipur
M200180,"Toor, Bhat and Mann",Food Delivery,Ahmednagar,Uttarakhand
M200181,Kohli-Bhatt,Grocery,Dibrugarh,Haryana
M200182,Vohra-Yohannan,Food Delivery,Durgapur,Himachal Pradesh
M200183,Ramaswamy Group,Education,Bijapur,Kerala
M200184,Khalsa-Gokhale,Electronics,Bareilly,Telangana
M200185,Singhal LLC,Clothing,Amravati,Uttar Pradesh
M200186,Kale-Kale,Electronics,Tadepalligudem,Nagaland
M200187,"Manne, Rao and Vasa",Electronics,Sultan Pur Majra,Madhya Pradesh
M200188,"Dhingra, Ganesh and Balay",Recharge,Bilaspur,Punjab
M200189,Sani-Gade,Travel,Jamnagar,Chhattisgarh
M200190,Agrawal-Rajagopalan,Food Delivery,Mysore,Punjab
M200191,Sachar LLC,Education,Kumbakonam,Mizoram
M200192,Bala-Verma,Electronics,Jammu,Kerala
M200193,Chatterjee and Sons,Recharge,Hyderabad,Haryana
M200194,Kunda PLC,Clothing,Raichur,Bihar
M200195,Buch-Varkey,Clothing,Deoghar,Assam
M200196,"Babu, Rout and Rajagopal",Grocery,Kollam,Assam
M200197,Koshy and Sons,Travel,Suryapet,Nagaland
M200198,"Krishnamurthy, Tripathi and Keer",Education,Srikakulam,Tripura
M200199,"Sundaram, Wable and Yohannan",Travel,Nizamabad,Andhra Pradesh
M200200,Dugar-Sheth,Clothing,Bhagalpur,Assam
M200201,Ravi and Sons,Travel,Sirsa,Meghalaya
M200202,"Yohannan, Kulkarni and Loyal",Travel,Ozhukarai,Manipur
M200203,Banik LLC,Recharge,Aligarh,Mizoram
M200204,Thakur-Bhatt,Education,Ulhasnagar,Tripura
M200205,"Sarin, Chaudhuri and Buch",Travel,Bhiwani,Mizoram
M200206,"Chopra, Tandon and Lalla",Clothing,Madurai,Karnataka
M200207,"Deep, Sethi and Shan",Clothing,Patna,Sikkim
M200208,"Chandra, Salvi and Subramanian",Travel,Jamalpur,Jharkhand
M200209,Boase-Gade,Electronics,Saharanpur,Bihar
M200210,Anne-Deshpande,Education,Pimpri-Chinchwad,Andhra Pradesh
M200211,Bose and Sons,Grocery,Bhilai,Kerala
M200212,Koshy-Bora,Clothing,Ujjain,Himachal Pradesh
M200213,Tara Group,Education,Junagadh,Karnataka
M200214,Kaur-Dara,Travel,Pondicherry,Uttarakhand
M200215,Bhat-Varughese,Food Delivery,Patna,Assam
M200216,Dhar Ltd,Clothing,Medininagar,Tripura
M200217,Biswas Ltd,Electronics,Khora ,Uttar Pradesh
M200218,Balan-Gera,Grocery,Eluru,Telangana
M200219,Saha-Sandal,Education,Ajmer,Madhya Pradesh
M200220,Gill Group,Recharge,Akola,Sikkim
M200221,Sarraf-Krish,Clothing,Srikakulam,Bihar
M200222,"Brar, Sankar and Randhawa",Recharge,Tiruppur,Tamil Nadu
M200223,"Krishnamurthy, Ratti and Dugar",Clothing,Nagercoil,Andhra Pradesh
M200224,Sachar-Sur,Electronics,Shahjahanpur,Arunachal Pradesh
M200225,Chand-Cherian,Grocery,Hospet,Punjab
M200226,Dalal-Subramaniam,Electronics,Singrauli,Haryana
M200227,Sehgal and Sons,Travel,Indore,Assam
M200228,"Srinivas, Bhandari and Wagle",Travel,Tiruchirappalli,Uttarakhand
M200229,"Dhillon, Balakrishnan and Sankaran",Food Delivery,Kishanganj,Meghalaya
M200230,Biswas Inc,Clothing,Moradabad,Mizoram
M200231,"Gandhi, Kara and Kadakia",Clothing,Udupi,Karnataka
M200232,"Yohannan, Kadakia and Bali",Education,Dibrugarh,Goa
M200233,Ram Inc,Clothing,Danapur,Manipur
M200234,Rao-Sen,Recharge,Karawal Nagar,Nagaland
M200235,Konda-Banerjee,Grocery,Jorhat,Odisha
M200236,Sabharwal and Sons,Recharge,Cuttack,Chhattisgarh
M200237,De-Shukla,Grocery,Dewas,Arunachal Pradesh
M200238,Sabharwal PLC,Electronics,Nagpur,Himachal Pradesh
M200239,Gaba-Hegde,Grocery,Dhanbad,Odisha
M200240,Madan LLC,Recharge,Tirunelveli,Andhra Pradesh
M200241,Sathe Group,Travel,Tinsukia,Kerala
M200242,Chada-Raval,Recharge,Kalyan-Dombivli,Meghalaya
M200243,Ratti Group,Recharge,Imphal,Jharkhand
M200244,Bhatt-Kashyap,Food Delivery,Pallavaram,Sikkim
M200245,Viswanathan-Keer,Food Delivery,Latur,Jharkhand
M200246,"Sridhar, Krishnan and Chakraborty",Recharge,Malegaon,Uttarakhand
M200247,"Bhagat, Rajan and Dua",Education,Vijayawada,Jharkhand
M200248,Gokhale-Walia,Travel,Hospet,Uttar Pradesh
M200249,Apte and Sons,Travel,Navi Mumbai,Uttarakhand
M200250,"Barman, Andra and Tata",Recharge,Kumbakonam,Mizoram
M200251,Bhasin PLC,Grocery,Karawal Nagar,Nagaland
M200252,Behl PLC,Grocery,Bhilwara,Mizoram
M200253,Keer-Lanka,Recharge,Sambalpur,Andhra Pradesh
M200254,Kara and Sons,Travel,Tirupati,Punjab
M200255,Tripathi PLC,Food Delivery,Parbhani,Mizoram
M200256,"Chakrabarti, Rama and Soman",Recharge,Delhi,Andhra Pradesh
M200257,"Rattan, Bassi and Srivastava",Recharge,Ludhiana,Goa
M200258,Dara LLC,Grocery,Rewa,Odisha
M200259,"Jain, Yohannan and Mann",Food Delivery,Panihati,Haryana
M200260,Grover Inc,Recharge,Orai,Goa
M200261,"Kale, Lala and Goyal",Electronics,Amroha,Tripura
M200262,Babu Inc,Clothing,Adoni,Andhra Pradesh
M200263,Jhaveri-Solanki,Grocery,Purnia,Karnataka
M200264,Grover-Choudhury,Travel,Cuttack,Assam
M200265,Chad-Solanki,Clothing,Dhule,Meghalaya
M200266,"Bhatia, Chakrabarti and Saini",Clothing,Surendranagar Dudhrej,Maharashtra
M200267,Kadakia and Sons,Grocery,Chennai,Goa
M200268,Bhagat LLC,Food Delivery,Maheshtala,Odisha
M200269,Sane-Yohannan,Travel,Khammam,West Bengal
M200270,"Keer, Chowdhury and Balakrishnan",Food Delivery,Surendranagar Dudhrej,Chhattisgarh
M200271,Randhawa LLC,Electronics,Panvel,Telangana
M200272,"Goda, Borde and Mane",Grocery,Nashik,Tripura
M200273,Deol-Ben,Clothing,Tiruvottiyur,Meghalaya
M200274,"Kata, Bhakta and Chaudry",Travel,Mangalore,Nagaland
M200275,Bassi-Koshy,Food Delivery,Narasaraopet,Haryana
M200276,Saraf-Bajwa,Recharge,Thrissur,Andhra Pradesh
M200277,"Char, Borah and Vaidya",Electronics,Amritsar,Rajasthan
M200278,Rau-Vig,Recharge,Narasaraopet,Jharkhand
M200279,Barman and Sons,Clothing,Pudukkottai,Himachal Pradesh
M200280,Luthra Ltd,Clothing,Belgaum,Uttar Pradesh
M200281,Chakrabarti and Sons,Food Delivery,Raurkela Industrial Township,Mizoram
M200282,Chaudhry-Bath,Electronics,Alwar,Nagaland
M200283,"Gokhale, Bhatnagar and Bassi",Clothing,Vellore,Andhra Pradesh
M200284,Rastogi LLC,Education,Erode,West Bengal
M200285,"Tiwari, Babu and Madan",Recharge,Saharanpur,Haryana
M200286,"Bhatia, Sankar and Bumb",Travel,Orai,Madhya Pradesh
M200287,"Sabharwal, Sawhney and Iyengar",Travel,Secunderabad,Kerala
M200288,Grover Inc,Travel,Rohtak,Himachal Pradesh
M200289,"Dave, Wali and Raval",Recharge,Bhiwani,Karnataka
M200290,Chhabra and Sons,Education,Saharanpur,Uttar Pradesh
M200291,Bhargava Inc,Education,Jehanabad,Telangana
M200292,"Batra, Shroff and Khare",Recharge,Kanpur,Telangana
M200293,Mahajan and Sons,Education,Gangtok,Mizoram
M200294,Trivedi-Amble,Food Delivery,Katihar,Mizoram
M200295,Bava and Sons,Travel,Kulti,Rajasthan
M200296,Loyal-Deep,Education,Thanjavur,Sikkim
M200297,Acharya Ltd,Education,Bokaro,Uttar Pradesh
M200298,Bajaj PLC,Grocery,Adoni,Tripura
M200299,Gala PLC,Clothing,Panchkula,Arunachal Pradesh
M200300,"Comar, Mani and Mani",Travel,Hosur,Uttar Pradesh
M200301,Tailor-Bajwa,Electronics,Thrissur,Chhattisgarh
M200302,"Dutt, Balan and Aurora",Food Delivery,Unnao,Haryana
M200303,Mand Ltd,Food Delivery,Bokaro,Uttar Pradesh
M200304,Kashyap PLC,Electronics,Shimla,Uttar Pradesh
M200305,"Rattan, Toor and Khalsa",Food Delivery,Bareilly,Madhya Pradesh
M200306,Biswas-Kala,Travel,Khandwa,Sikkim
M200307,Kothari Group,Food Delivery,Morbi,Andhra Pradesh
M200308,Wadhwa-Din,Food Delivery,Guntur,Rajasthan
M200309,"Date, Madan and Khalsa",Travel,Madhyamgram,Kerala
M200310,Kurian Inc,Clothing,Bijapur,Tripura
M200311,Yohannan-Saraf,Grocery,Rajahmundry,Goa
M200312,Sawhney-Chaudhry,Education,Panipat,Tamil Nadu
M200313,"Dyal, Malhotra and Chaudhari",Grocery,Muzaffarnagar,Karnataka
M200314,Raja Inc,Travel,Jorhat,West Bengal
M200315,"Buch, Bhargava and Kunda",,Vasai-Virar,Manipur
M200316,"Raval, Sethi and Kapur",Recharge,Thrissur,Nagaland
M200317,Sood and Sons,Electronics,Vadodara,Mizoram
M200318,"Tata, Kari and Dani",Food Delivery,Raebareli,Meghalaya
M200319,Vyas-Ramesh,Travel,Hindupur,Madhya Pradesh
M200320,Batra and Sons,Grocery,Kumbakonam,Manipur
M200321,Mani and Sons,Electronics,Imphal,Madhya Pradesh
M200322,"Mammen, Mangal and Sethi",Travel,Kishanganj,Andhra Pradesh
M200323,Sharma Ltd,Travel,Nanded,Goa
M200324,Som-Bal,Food Delivery,Mangalore,Manipur
M200325,Balay-Amble,,Chandrapur,Telangana
M200326,"Banerjee, Hari and Thakkar",Recharge,Miryalaguda,Tamil Nadu
M200327,Das-Raja,,Gaya,Haryana
M200328,Varghese PLC,Grocery,Orai,Assam
M200329,"Gokhale, Dhaliwal and Mall",Travel,Aizawl,Odisha
M200330,Chowdhury and Sons,Clothing,Ramagundam,Punjab
M200331,Chopra and Sons,Travel,Thane,Bihar
M200332,Mangat-Kurian,Travel,Mumbai,Madhya Pradesh
M200333,Hora Ltd,Recharge,Orai,Uttar Pradesh
M200334,Lanka LLC,Travel,Guntur,Jharkhand
M200335,Shah-Yadav,Education,Visakhapatnam,Sikkim
M200336,Kumar Inc,Clothing,Udaipur,Sikkim
M200337,"Basak, Bali and Kata",Grocery,Nizamabad,Jharkhand
M200338,Konda-Goel,Recharge,Guntur,Jharkhand
M200339,Gola LLC,Food Delivery,Kottayam,Meghalaya
M200340,Kapur-Sarma,Education,Burhanpur,Chhattisgarh
M200341,Tata-Dubey,Recharge,South Dumdum,Jharkhand
M200342,"Kala, Dey and Wadhwa",Clothing,Vasai-Virar,West Bengal
M200343,Ghose LLC,Education,Rewa,Tamil Nadu
M200344,"Halder, Dua and Sharaf",Recharge,Srikakulam,Sikkim
M200345,Kohli-Golla,Grocery,Mirzapur,Himachal Pradesh
M200346,"Viswanathan, Sawhney and Dugar",Food Delivery,Varanasi,Uttarakhand
M200347,Atwal and Sons,Travel,Kota,Goa
M200348,"Kapoor, Kanda and Jaggi",Food Delivery,Guna,Arunachal Pradesh
M200349,"Ratta, Bobal and Mahajan",Travel,Kochi,Gujarat
M200350,Keer PLC,Recharge,Shahjahanpur,Kerala
M200351,Kannan Inc,Grocery,Jaunpur,Tamil Nadu
M200352,Salvi Inc,Food Delivery,Shimoga,Andhra Pradesh
M200353,Bassi LLC,Education,Sirsa,Goa
M200354,Ram and Sons,Food Delivery,Ranchi,Bihar
M200355,Dhawan PLC,Food Delivery,Tirunelveli,Punjab
M200356,Amble Inc,Electronics,Madanapalle,Gujarat
M200357,Kala Group,Food Delivery,Bareilly,Bihar
M200358,"Halder, Bali and Kashyap",Clothing,Ballia,Bihar
M200359,"Sankaran, Chahal and Kota",Education,Tadepalligudem,Manipur
M200360,"Sarna, Kant and Kalla",Travel,Munger,Himachal Pradesh
M200361,Krishnamurthy Inc,Electronics,Ahmednagar,Goa
M200362,Barad-Chakraborty,Clothing,Shahjahanpur,Telangana
M200363,Sem Inc,Travel,Kolkata,Gujarat
M200364,Mann-Bhatt,Travel,Dharmavaram,Manipur
M200365,Saini-Shenoy,Food Delivery,Gangtok,Andhra Pradesh
M200366,Kalita-Sur,Food Delivery,Tadepalligudem,Tamil Nadu
M200367,Loyal-Kata,Education,Junagadh,Jharkhand
M200368,"Wadhwa, Kala and Dhawan",Grocery,Cuttack,Tripura
M200369,Ramanathan-Dewan,Travel,Noida,Telangana
M200370,Subramanian and Sons,Electronics,Tinsukia,Andhra Pradesh
M200371,Bedi-Luthra,Clothing,Ratlam,Arunachal Pradesh
M200372,"Swaminathan, Batra and Bal",Education,Kozhikode,Tripura
M200373,Seshadri and Sons,Food Delivery,Loni,Odisha
M200374,"Virk, Sethi and Saraf",Clothing,Phusro,Tamil Nadu
M200375,Sachdeva PLC,Recharge,Chandigarh,Gujarat
M200376,"Dhillon, Kaur and Rau",Food Delivery,Varanasi,Andhra Pradesh
M200377,Chanda Ltd,Grocery,Gangtok,Tamil Nadu
M200378,Behl-Grover,Travel,Thrissur,Rajasthan
M200379,"Iyengar, Madan and Choudhary",Grocery,Sri Ganganagar,Goa
M200380,"Bansal, Babu and Savant",Education,Alwar,Maharashtra
M200381,"Handa, Taneja and Kadakia",Food Delivery,Sagar,Himachal Pradesh
M200382,"Kapadia, Upadhyay and Malhotra",Clothing,Siwan,Nagaland
M200383,Tara-Dhar,Recharge,Nagaon,Meghalaya
M200384,"Sani, Hegde and Kalla",Recharge,Raichur,Andhra Pradesh
M200385,Wali Ltd,Food Delivery,Amravati,Rajasthan
M200386,Goyal-Sachdev,Electronics,Ozhukarai,Rajasthan
M200387,Bhat-Gera,Clothing,Saharsa,Gujarat
M200388,"Magar, Dhar and Kunda",Clothing,Bhilai,Telangana
M200389,"Chandran, Srivastava and Cherian",Grocery,Karaikudi,Rajasthan
M200390,Raj-Subramanian,Recharge,Sagar,Jharkhand
M200391,"Kara, Handa and Dave",Food Delivery,Cuttack,Arunachal Pradesh
M200392,"Baria, Dave and Gill",Grocery,Lucknow,Madhya Pradesh
M200393,Halder-Dhaliwal,Recharge,Alwar,Chhattisgarh
M200394,Jaggi-Comar,Travel,Giridih,Uttar Pradesh
M200395,"Sundaram, Buch and Krishnan",Food Delivery,Sambalpur,Bihar
M200396,Swaminathan-Vig,Clothing,New Delhi,Uttar Pradesh
M200397,Bhavsar-Barman,Food Delivery,Adoni,Maharashtra
M200398,Korpal Inc,Education,Surat,Assam
M200399,"Sangha, Kohli and Luthra",Food Delivery,Allahabad,Tamil Nadu
M200400,"Jain, Salvi and Varty",Grocery,Ichalkaranji,Goa
M200401,"Dhingra, Walla and Sem",Travel,Malegaon,Odisha
M200402,Ganguly-Loke,Grocery,Barasat,Uttar Pradesh
M200403,Borra-Butala,Recharge,Kanpur,Bihar
M200404,Banerjee-Mahal,Recharge,Agartala,Assam
M200405,"Ranganathan, Randhawa and Bains",Clothing,Kharagpur,Tamil Nadu
M200406,"Madan, Karnik and Subramanian",,Vadodara,Himachal Pradesh
M200407,"Sood, Gade and Tara",Food Delivery,Amritsar,Assam
M200408,Keer-Venkatesh,Grocery,Bhalswa Jahangir Pur,Odisha
M200409,Iyer-Dalal,Travel,Panchkula,Chhattisgarh
M200410,"Sarkar, Ben and Sharaf",Electronics,Sultan Pur Majra,Chhattisgarh
M200411,Vaidya-Sarma,Food Delivery,Durgapur,Arunachal Pradesh
M200412,"Ramachandran, Varughese and Bail",Clothing,Saharsa,Nagaland
M200413,"Bhardwaj, Tella and Wadhwa",Food Delivery,Mathura,Nagaland
M200414,Hans-Sarna,Recharge,Bhiwani,Madhya Pradesh
M200415,Swaminathan-Butala,Recharge,Tadipatri,Odisha
M200416,Dass and Sons,Clothing,Tiruppur,West Bengal
