Transaction_ID,User_ID,Merchant_ID,Amount,Payment_Mode,Transaction_Status,Transaction_Type,Transaction_Date,Location
T300028,U101004,M200283,769.9,UPI,Success,P2M,2024-06-12 08:16:26,Salem
T300029,U102499,M200584,642.02,AutoPay,Success,P2P,2024-10-03 04:15:28,Panihati
T300030,U105325,M201351,887.05,Intent,Success,P2M,2024-11-06 10:05:10,Morena
T300031,U106733,M201364,464.29,QR Code,Success,P2P,2024-06-29 21:42:30,Bijapur
T300032,U105135,M200621,5.59,QR Code,Success,P2P,2024-02-08 14:02:14,Mau
T300033,U100326,M201821,249.17,Intent,Success,P2P,2024-06-13 17:08:44,Kalyan-Dombivli
T300034,U104703,M200220,123.6,QR Code,Success,P2M,2024-04-17 02:47:30,Guwahati
T300035,U102706,M200008,284.86,QR Code,Success,P2M,2024-07-29 16:18:41,Ajmer
T300036,U100001,M201932,317.96,AutoPay,Success,P2M,2024-01-28 14:09:00,Bhiwandi
T300037,U101033,M201105,68.39,UPI,Success,P2P,2024-12-23 20:14:08,Deoghar
T300038,U102481,M200831,11.86,Intent,Success,P2M,2024-10-29 23:58:06,New Delhi
T300039,U100124,M201317,74.37,UPI,Success,P2P,2024-08-14 03:30:57,Ambattur
T300040,U101104,M200374,973.95,AutoPay,Success,P2M,2024-05-26 20:17:23,Nangloi Jat
T300041,U106628,M200533,704.99,UPI,Success,P2M,2024-02-13 13:06:49,Avadi
T300042,U102699,M201438,801.96,AutoPay,Success,P2P,2024-11-22 21:33:23,Ballia
T300043,U101861,M201122,161.69,UPI,Success,P2M,2024-06-11 09:13:28,Proddatur
T300044,U105269,M201705,134.66,Intent,Success,P2M,2024-08-10 18:25:25,Patiala
T300045,U106943,M200701,19.04,QR Code,Success,P2P,2024-05-01 11:16:55,Guntakal
T300046,U102920,M201641,319.58,Intent,Success,P2P,2024-09-28 22:18:42,Satna
T300047,U100128,M200831,240.96,QR Code,Success,P2M,2024-04-13 19:32:21,Jhansi
T300048,U100437,M201993,903.6,Intent,Success,P2P,2024-10-09 18:41:05,Kozhikode
T300049,U104846,M200776,572.64,QR Code,Success,P2M,2024-09-01 02:09:43,Chittoor
T300050,U102548,M201405,77.91,UPI,Success,P2M,2024-08-05 22:17:20,Deoghar
T300051,U103129,M201886,2177.41,UPI,Success,P2M,2024-12-19 19:26:01,Sagar
T300052,U101221,M200939,736.23,QR Code,Success,P2M,2024-11-27 03:19:46,Unnao
T300053,U106354,M201527,636.91,UPI,Failed,P2P,2024-03-15 07:04:30,Sri Ganganagar
T300054,U100901,M200446,122.07,AutoPay,Success,P2P,2024-07-22 04:04:28,Dhule
T300055,U106188,M200679,1177.76,Intent,Success,P2P,2024-03-14 20:13:29,Nagaon
T300056,U103168,M200343,321.15,Intent,Success,P2M,2024-05-31 22:28:53,Muzaffarpur
T300057,U105398,M200424,176.67,Intent,Success,P2P,2024-09-05 07:28:30,Guwahati
T300058,U106678,M200624,531.86,QR Code,Success,P2P,2024-01-08 19:17:46,Thrissur
T300059,U105529,M201863,118.97,QR Code,Success,P2P,2024-01-04 08:33:25,Kulti
T300060,U106604,M200305,1190.63,Intent,Success,P2M,2024-02-18 06:40:06,Kishanganj
T300061,U104486,M200147,963.25,QR Code,Success,P2M,2024-05-14 01:39:46,Pondicherry
T300062,U103918,M200848,312.66,AutoPay,Success,P2P,2024-10-26 00:32:07,Malda
T300063,U101067,M200731,105.77,AutoPay,Success,P2M,2024-10-13 16:58:14,Satna
T300064,U100026,M200453,343.09,Intent,Success,P2M,2024-05-21 18:31:59,Tadepalligudem
T300065,U106937,M200937,80.75,UPI,Success,P2P,2024-03-10 16:55:17,Bally
T300066,U100547,M200032,157.25,UPI,Success,P2M,2024-08-15 21:22:44,Aurangabad
T300067,U102668,M201755,329.6,UPI,Pending,P2M,2024-02-25 11:46:17,Gandhinagar
T300068,U100566,M201524,10.68,Intent,Success,P2M,2024-08-07 18:28:57,Satna
T300069,U100703,M201342,725.62,QR Code,Success,P2M,2024-12-01 00:03:49,Thane
T300070,U105338,M201720,109.65,Intent,Success,P2M,2024-01-07 03:39:01,Srikakulam
T300071,U104280,M201216,1007.24,Intent,Failed,P2P,2024-12-05 13:36:18,Bhavnagar
T300072,U103140,M201896,11.26,Intent,Success,P2M,2024-05-27 02:16:47,Gurgaon
T300073,U101590,M201203,379.78,UPI,Success,P2M,2024-01-04 00:39:45,Sri Ganganagar
T300074,U106009,M201890,749.51,UPI,Success,P2P,2024-02-06 02:05:00,Agra
T300075,U104943,M200983,135.87,UPI,Success,P2P,2024-02-10 03:38:46,Jaunpur
T300076,U104694,M201541,614.74,Intent,Success,P2P,2024-11-15 00:47:05,Bhiwani
T300077,U100805,M200390,638.03,QR Code,Success,P2P,2024-12-10 22:27:17,Tiruchirappalli
T300078,U103791,M201544,507.84,QR Code,Success,P2M,2024-05-15 08:02:09,Burhanpur
T300079,U101357,M200356,226.48,QR Code,Success,P2M,2024-05-22 16:17:19,Pallavaram
T300080,U103225,M200572,768.71,QR Code,Success,P2M,2024-01-25 11:38:11,Secunderabad
T300081,U103618,M200463,495.01,QR Code,Success,P2M,2024-07-31 05:34:26,Bhagalpur
T300082,U102126,M200929,446.27,QR Code,Success,P2P,2024-09-30 13:23:46,Mysore
T300083,U106722,M201698,855.07,Intent,Success,P2M,2024-04-15 12:06:54,Madurai
T300084,U105974,M200098,140.28,AutoPay,Success,P2M,2024-03-09 12:48:07,Navi Mumbai
T300085,U102460,M200147,132.3,UPI,Success,P2P,2024-03-15 10:23:39,Singrauli
T300086,U100545,M200569,244.24,QR Code,Success,P2P,2024-09-03 17:30:41,Bidar
T300087,U105728,M200726,37.97,UPI,Success,P2P,2024-06-02 17:29:35,Agra
T300088,U106312,M201339,205.79,AutoPay,Success,P2P,2024-05-02 07:03:41,Nandyal
T300089,U102728,M201001,260.67,AutoPay,Success,P2M,2024-03-03 01:58:14,Ballia
T300090,U103734,M201205,341.66,Intent,Success,P2P,2024-06-21 13:55:29,Kulti
T300091,U106726,M201570,146.52,QR Code,Success,P2P,2024-07-20 11:35:34,Ongole
T300092,U102562,M200302,1186.73,AutoPay,Success,P2P,2024-01-09 19:59:08,Secunderabad
T300093,U102079,M201581,167.79,UPI,Success,P2M,2024-12-30 00:08:40,Bidhannagar
T300094,U106430,M201622,953.76,AutoPay,Failed,P2P,2024-09-13 20:02:22,Ajmer
T300095,U102641,M200003,294.35,Intent,Success,P2P,2024-01-30 00:56:40,Unnao
T300096,U103114,M200777,633.2,Intent,Success,P2M,2024-01-04 23:31:54,Mahbubnagar
T300097,U101926,M200106,58.77,AutoPay,Success,P2M,2024-08-11 07:09:55,Anand
T300098,U100616,M200074,393.33,AutoPay,Success,P2M,2024-08-12 10:42:12,Patna
T300099,U103644,M201063,1619.87,QR Code,Failed,P2P,2024-02-04 07:51:03,Jamnagar
T300100,U106413,M200638,548.68,AutoPay,Success,P2M,2024-12-21 07:14:17,Chandrapur
T300101,U101203,M200694,858.2,UPI,Success,P2P,2024-06-08 14:47:25,Adoni
T300102,U101759,M201142,151.28,QR Code,Failed,P2M,2024-08-01 21:25:10,Saharsa
T300103,U102565,M200072,805.14,AutoPay,Success,P2M,2024-10-14 20:01:23,Chandrapur
T300104,U103174,M200551,216.36,QR Code,Success,P2M,2024-11-03 16:19:08,Pimpri-Chinchwad
T300105,U103081,M201227,331.87,QR Code,Pending,P2M,2024-05-05 09:11:27,Kumbakonam
T300106,U102630,M200976,104.1,QR Code,Success,P2P,2024-04-05 06:07:49,Karaikudi
T300107,U103161,M200095,332.47,Intent,Success,P2P,2024-01-30 01:29:21,Kanpur
T300108,U104321,M201302,362.53,Intent,Success,P2P,2024-09-20 19:31:54,Panihati
T300109,U100669,M201166,486.86,AutoPay,Success,P2P,2024-03-03 22:23:46,Bilaspur
T300110,U105859,M201138,1014.88,Intent,Success,P2P,2024-05-14 12:31:47,Aizawl
T300111,U105012,M201499,181.81,AutoPay,Success,P2M,2024-03-01 10:50:57,Thiruvananthapuram
T300112,U106269,M200883,2071.88,UPI,Success,P2P,2024-06-10 17:18:20,Gangtok
T300113,U103168,M201156,940.92,QR Code,Success,P2M,2024-09-18 08:51:17,Udupi
T300114,U102121,M201191,257.85,AutoPay,Success,P2M,2024-08-18 02:58:07,Khammam
T300115,U105310,M201937,128.52,Intent,Success,P2M,2024-10-12 21:08:33,Ichalkaranji
T300116,U104078,M201268,37.09,Intent,Success,P2P,2024-05-10 05:16:18,Khandwa
T300117,U105801,M200276,133.52,Intent,Success,P2M,2024-11-11 21:59:11,Tirupati
T300118,U105938,M201998,1079.34,Intent,Success,P2M,2024-08-03 14:51:52,Gwalior
T300119,U106079,M200258,172.68,AutoPay,Success,P2M,2024-12-12 09:34:54,Bardhaman
T300120,U104151,M200045,74.24,Intent,Success,P2P,2024-05-26 02:58:38,Bangalore
T300121,U100719,M200345,11.47,UPI,Success,P2M,2024-04-07 07:25:14,North Dumdum
T300122,U102600,M200846,176.68,AutoPay,Success,P2P,2024-03-29 22:01:34,Yamunanagar
T300123,U106175,M200894,121.77,UPI,Success,P2M,2024-04-05 09:58:29,Narasaraopet
T300124,U103598,M201260,53.91,UPI,Success,P2P,2024-03-22 20:17:48,Jammu
T300125,U104669,M201076,1508.84,QR Code,Success,P2P,2024-08-18 16:38:18,Narasaraopet
T300126,U100666,M201171,155.73,UPI,Success,P2P,2024-05-03 19:10:01,Tinsukia
T300127,U100283,M201722,3.1,UPI,Success,P2M,2024-04-04 11:55:17,Jehanabad
T300128,U105840,M201556,1443.67,QR Code,Success,P2M,2024-10-07 14:39:12,Kota
T300129,U103903,M201113,431.98,AutoPay,Success,P2P,2024-05-10 03:52:06,Jamalpur
T300130,U103565,M200232,43.22,AutoPay,Success,P2M,2024-02-03 10:58:50,Kozhikode
T300131,U102234,M201750,15.96,AutoPay,Success,P2P,2024-09-22 17:04:29,Davanagere
T300132,U104593,M201904,57.06,UPI,Success,P2M,2024-10-12 10:00:31,Panvel
T300133,U101465,M200050,447.62,UPI,Failed,P2M,2024-10-15 06:54:12,Bhubaneswar
T300134,U100129,M200664,31.93,AutoPay,Success,P2M,2024-04-15 10:28:40,Madurai
T300135,U104734,M201859,419.83,AutoPay,Success,P2M,2024-12-06 22:10:33,Miryalaguda
T300136,U106257,M201651,528.55,UPI,Success,P2P,2024-07-27 08:38:35,Miryalaguda
T300137,U102060,M201417,79.84,Intent,Success,P2P,2024-10-07 16:40:46,Nandyal
T300138,U103672,M201237,335.14,Intent,Failed,P2M,2024-10-19 09:42:00,Thanjavur
T300139,U106587,M200450,1660.45,QR Code,Success,P2M,2024-03-29 10:19:45,Berhampore
T300140,U102494,M201362,905.44,AutoPay,Success,P2M,2024-10-13 06:16:23,Varanasi
T300141,U105081,M200350,642.53,AutoPay,Success,P2M,2024-02-12 06:50:16,Davanagere
T300142,U100992,M200648,364.63,QR Code,Failed,P2M,2024-04-05 20:29:07,Machilipatnam
T300143,U106858,M201308,250.66,QR Code,Success,P2M,2024-12-01 10:36:11,Panihati
T300144,U102121,M201956,300.22,QR Code,Success,P2M,2024-06-05 15:39:59,Nadiad
T300145,U102584,M200877,723.26,QR Code,Success,P2M,2024-01-15 01:45:32,Guntur
T300146,U104196,M200582,404.05,AutoPay,Success,P2M,2024-08-15 00:03:13,Gorakhpur
T300147,U102223,M200244,723.35,AutoPay,Success,P2M,2024-10-22 10:34:00,Kishanganj
T300148,U104522,M200549,1751.17,Intent,Success,P2M,2024-01-27 16:39:58,Kota
T300149,U103188,M200727,511.54,Intent,Success,P2M,2024-09-02 16:19:31,Dewas
T300150,U103237,M200638,462.04,UPI,Success,P2P,2024-08-06 21:07:13,Sasaram
T300151,U104136,M200583,260.57,AutoPay,Pending,P2M,2024-11-29 17:21:55,Guna
T300152,U104524,M200225,109.55,UPI,Success,P2P,2024-10-07 12:39:01,Kanpur
T300153,U100343,M200826,234.36,AutoPay,Success,P2M,2024-05-14 16:10:12,Naihati
T300154,U104461,M200440,367.09,AutoPay,Success,P2M,2024-10-07 10:35:22,Tirunelveli
T300155,U104704,M201497,17.74,Intent,Success,P2M,2024-08-07 10:39:33,Gopalpur
T300156,U106800,M201467,322.95,Intent,Success,P2P,2024-10-17 20:45:45,Mahbubnagar
T300157,U104823,M201819,990.79,UPI,Pending,P2P,2024-01-18 04:48:39,Jamshedpur
T300158,U102276,M200411,1878.03,UPI,Success,P2P,2024-09-04 17:12:43,Srikakulam
T300159,U104920,M200813,967.41,QR Code,Success,P2M,2024-04-08 16:21:12,Chandrapur
T300160,U103201,M200245,94.36,UPI,Success,P2M,2024-04-24 14:29:27,Imphal
T300161,U105471,M200582,84.22,AutoPay,Success,P2P,2024-10-11 17:39:35,Katihar
T300162,U100888,M201730,249.87,AutoPay,Success,P2M,2024-03-16 13:38:13,Baranagar
T300163,U102043,M200499,127.72,AutoPay,Success,P2M,2024-09-12 00:59:11,Jaunpur
T300164,U101341,M200981,563.5,Intent,Success,P2P,2024-05-31 21:47:40,Patna
T300165,U103720,M201974,44.17,QR Code,Success,P2M,2024-03-27 18:42:06,Hubli–Dharwad
T300166,U102883,M200549,293.24,AutoPay,Success,P2P,2024-12-19 11:21:16,Anand
T300167,U105392,M200116,164.5,QR Code,Success,P2M,2024-01-19 09:35:28,Bongaigaon
T300168,U104212,M201773,452.43,QR Code,Success,P2P,2024-08-16 06:01:54,Miryalaguda
T300169,U106961,M201387,797.43,AutoPay,Success,P2P,2024-07-11 02:40:12,Varanasi
T300170,U102415,M201937,1285.65,QR Code,Success,P2M,2024-07-10 08:19:48,Hajipur
T300171,U101117,M200203,1660.08,AutoPay,Success,P2M,2024-07-28 22:51:28,Siwan
T300172,U104263,M200350,216.31,AutoPay,Success,P2P,2024-06-27 19:09:00,Ludhiana
T300173,U103001,M200318,968.44,AutoPay,Success,P2M,2024-08-07 19:01:36,Jodhpur
T300174,U101738,M201382,448.2,Intent,Success,P2P,2024-08-03 16:40:22,Deoghar
T300175,U101364,M201540,589.24,Intent,Success,P2M,2024-03-19 12:44:10,Bikaner
T300176,U102708,M200939,952.34,UPI,Success,P2M,2024-03-09 23:11:13,Nashik
T300177,U104790,M200488,69.7,AutoPay,Success,P2M,2024-10-27 08:11:00,Bhalswa Jahangir Pur
T300178,U100924,M201692,1472.59,AutoPay,Failed,P2M,2024-12-03 02:40:13,Purnia
T300179,U100151,M200106,396.37,AutoPay,Success,P2M,2024-12-03 10:39:31,Nizamabad
T300180,U100585,M201763,204.74,UPI,Success,P2M,2024-04-20 20:26:47,Rourkela
T300181,U100912,M200653,206.8,Intent,Success,P2M,2024-02-17 18:34:34,Muzaffarnagar
T300182,U102321,M201849,695.15,Intent,Success,P2M,2024-03-20 18:51:39,Davanagere
T300183,U105673,M200171,567.63,UPI,Success,P2P,2024-12-27 01:42:22,Bongaigaon
T300184,U100495,M201681,653.7,AutoPay,Success,P2P,2024-12-21 08:18:07,Shivpuri
T300185,U103795,M200518,145.84,AutoPay,Success,P2P,2024-05-22 14:59:38,Tiruppur
T300186,U102148,M201878,93.28,Intent,Success,P2M,2024-08-08 03:03:12,Buxar
T300187,U100556,M201888,639.81,AutoPay,Success,P2P,2024-11-13 04:51:20,Visakhapatnam
T300188,U105201,M200957,177.25,Intent,Success,P2M,2024-01-22 22:02:32,Aurangabad
T300189,U101552,M200812,125.79,AutoPay,Success,P2P,2024-05-13 07:46:43,Ujjain
T300190,U102120,M200527,120.79,QR Code,Success,P2M,2024-09-14 07:44:17,Jammu
T300191,U103085,M200319,80.32,Intent,Pending,P2M,2024-08-22 14:05:26,Bhagalpur
T300192,U103504,M201060,278.27,QR Code,Success,P2M,2024-11-28 19:16:15,Katihar
T300193,U100156,M200498,151.19,Intent,Success,P2P,2024-01-22 14:25:56,Nagaon
T300194,U100734,M201688,1121.52,UPI,Success,P2P,2024-11-28 20:24:17,Anand
T300195,U106275,M200264,584.21,Intent,Failed,P2M,2024-03-30 08:12:59,Panvel
T300196,U105523,M201718,681.02,Intent,Success,P2M,2024-01-05 03:58:07,Hapur
T300197,U104654,M201691,258.43,AutoPay,Success,P2P,2024-01-27 17:03:24,Ichalkaranji
T300198,U106250,M201672,458.41,AutoPay,Success,P2M,2024-02-08 04:04:21,Latur
T300199,U106408,M200907,347.37,UPI,Success,P2P,2024-07-11 21:15:03,Nangloi Jat
T300200,U103276,M200401,91.63,AutoPay,Success,P2P,2024-06-15 04:45:09,Agartala
T300201,U100154,M200986,24.52,AutoPay,Success,P2M,2024-02-02 16:06:22,Jalandhar
T300202,U100996,M200601,575.25,UPI,Success,P2P,2024-02-19 20:44:08,Panchkula
T300203,U102294,M200951,64.58,UPI,Success,P2M,2024-05-18 04:13:32,Madhyamgram
T300204,U104626,M200217,29.53,Intent,Success,P2M,2024-07-20 05:41:54,Vijayanagaram
T300205,U102905,M200329,291.58,AutoPay,Success,P2M,2024-10-18 14:57:28,Pudukkottai
T300206,U106067,M200185,669.76,AutoPay,Success,P2P,2024-04-16 03:21:13,Buxar
T300207,U106681,M201404,732.38,UPI,Success,P2P,2024-05-16 00:40:31,Ambarnath
T300208,U104824,M200208,1033.64,Intent,Success,P2M,2024-07-27 08:13:07,Alwar
T300209,U101177,M201586,111.08,AutoPay,Success,P2M,2024-10-22 04:08:26,Hapur
T300210,U100153,M200287,2121.11,UPI,Success,P2M,2024-06-27 09:21:51,Kolkata
T300211,U104187,M200087,720.29,Intent,Success,P2M,2024-08-13 19:49:58,Vijayanagaram
T300212,U106481,M201002,85.52,AutoPay,Success,P2P,2024-12-20 01:55:14,Mysore
T300213,U105599,M201967,918.55,AutoPay,Success,P2P,2024-04-13 15:52:36,Jaipur
T300214,U101716,M200135,345.53,UPI,Success,P2M,2024-07-18 18:52:36,Bidhannagar
T300215,U103202,M200157,34.43,UPI,Success,P2M,2024-08-08 22:29:59,Jehanabad
T300216,U106593,M200793,70.81,QR Code,Success,P2M,2024-01-23 18:53:46,Ramgarh
T300217,U106112,M200919,284.49,Intent,Success,P2M,2024-04-07 17:19:16,Bhubaneswar
T300218,U102857,M200154,378.05,UPI,Success,P2P,2024-02-10 23:50:55,Miryalaguda
T300219,U100786,M201486,1473.4,Intent,Success,P2P,2024-08-13 10:38:06,Sirsa
T300220,U104368,M200219,121.49,UPI,Success,P2M,2024-09-09 16:50:46,Bhilwara
T300221,U106123,M201482,321.33,Intent,Success,P2P,2024-06-14 04:13:07,Karawal Nagar
T300222,U106731,M201190,128.02,Intent,Success,P2M,2024-10-27 12:14:29,Rajkot
T300223,U104272,M200321,408.68,AutoPay,Success,P2P,2024-09-28 06:01:17,Sagar
T300224,U103767,M200690,1200.2,Intent,Success,P2P,2024-01-19 17:38:49,Siliguri
T300225,U102878,M200840,419.38,QR Code,Success,P2P,2024-08-29 17:49:30,Sikar
T300226,U100642,M201585,356.75,AutoPay,Success,P2P,2024-02-08 13:30:37,Lucknow
T300227,U105994,M201836,693.41,Intent,Success,P2P,2024-06-20 06:12:35,Korba
T300228,U104662,M200511,79.86,UPI,Success,P2M,2024-01-30 17:21:40,Arrah
T300229,U100665,M200086,1180.19,QR Code,Success,P2P,2024-07-15 06:20:43,Pimpri-Chinchwad
T300230,U103426,M201568,430.94,AutoPay,Success,P2M,2024-01-09 18:34:38,Satna
T300231,U103783,M200274,579.67,Intent,Success,P2M,2024-07-17 07:45:02,Sangli-Miraj & Kupwad
T300232,U105427,M200140,854.52,UPI,Success,P2M,2024-11-07 18:40:58,Bhiwandi
T300233,U103701,M201741,503.98,Intent,Success,P2M,2024-08-29 23:07:17,Kamarhati
T300234,U105894,M201759,512.5,QR Code,Success,P2M,2024-05-18 15:06:21,Gulbarga
T300235,U101069,M200624,653.97,UPI,Success,P2M,2024-01-18 14:23:38,Mysore
T300236,U102349,M201813,26.83,UPI,Success,P2M,2024-10-26 01:02:54,Kota
T300237,U104503,M200915,240.8,UPI,Success,P2P,2024-12-05 01:56:42,Nellore
T300238,U101212,M200352,1647.56,AutoPay,Success,P2P,2024-02-16 05:37:02,Darbhanga
T300239,U106965,M201028,149.16,AutoPay,Success,P2M,2024-04-09 05:58:07,Karnal
T300240,U105949,M200381,390.72,QR Code,Success,P2P,2024-08-19 23:58:07,Dibrugarh
T300241,U101152,M201747,96.45,UPI,Success,P2M,2024-02-24 04:31:43,Nadiad
T300242,U106704,M201791,195.24,Intent,Success,P2M,2024-08-13 13:09:23,Tumkur
T300243,U105237,M201357,631.3,Intent,Success,P2P,2024-02-12 05:53:34,Bhiwandi
T300244,U102511,M200474,515.14,AutoPay,Pending,P2M,2024-05-01 06:31:21,Mahbubnagar
T300245,U100143,M200927,267.49,UPI,Success,P2M,2024-03-01 23:31:26,Tiruchirappalli
T300246,U102489,M200029,1390.93,QR Code,Success,P2P,2024-03-12 12:43:24,Haridwar
T300247,U103228,M201370,745.93,UPI,Pending,P2M,2024-07-07 13:18:18,Mehsana
T300248,U104582,M200921,155.94,UPI,Success,P2M,2024-06-24 06:26:34,Motihari
T300249,U104955,M200593,313.16,UPI,Success,P2M,2024-01-25 03:37:25,Mysore
T300250,U103205,M200492,1052.01,AutoPay,Success,P2M,2024-12-23 06:24:52,Aligarh
T300251,U106031,M201771,11.36,Intent,Success,P2M,2024-04-07 11:14:07,Allahabad
T300252,U104243,M200494,435.5,Intent,Success,P2P,2024-07-31 23:33:47,Gudivada
T300253,U105455,M201879,131.96,QR Code,Success,P2P,2024-03-27 18:57:29,Panvel
T300254,U103142,M200387,32.97,AutoPay,Pending,P2M,2024-02-15 05:17:04,Dharmavaram
T300255,U103304,M200872,1220.13,QR Code,Pending,P2P,2024-12-13 09:10:52,Dharmavaram
T300256,U101357,M200834,847.18,QR Code,Success,P2M,2024-06-13 04:12:22,Rampur
T300257,U106954,M201276,102.46,AutoPay,Success,P2M,2024-06-01 15:08:13,Rourkela
T300258,U102713,M200629,906.84,Intent,Success,P2P,2024-04-19 23:00:41,Vijayanagaram
T300259,U104185,M200938,79.16,Intent,Success,P2M,2024-08-28 11:31:06,Junagadh
T300260,U101357,M200029,323.29,Intent,Success,P2M,2024-09-07 20:06:37,Saharanpur
T300261,U104294,M200622,646.9,AutoPay,Success,P2M,2024-12-19 02:37:35,Bihar Sharif
T300262,U104633,M201935,381.58,AutoPay,Success,P2P,2024-11-08 18:01:46,Yamunanagar
T300263,U103192,M201789,951.17,AutoPay,Success,P2M,2024-07-28 08:05:19,Anand
T300264,U100300,M201734,479.7,Intent,Success,P2M,2024-12-24 19:37:34,Chennai
T300265,U100723,M200806,282.77,QR Code,Success,P2M,2024-07-17 22:38:52,Ichalkaranji
T300266,U105694,M200341,1296.22,Intent,Failed,P2M,2024-11-26 00:47:08,Kumbakonam
T300267,U103010,M201832,18.48,QR Code,Success,P2M,2024-09-23 14:19:32,Berhampore
T300268,U105555,M201310,335.1,Intent,Success,P2M,2024-07-30 12:17:50,
T300269,U100067,M201968,540.56,UPI,Success,P2M,2024-03-11 19:02:09,Chandrapur
T300270,U103836,M201420,904.12,AutoPay,Success,P2P,2024-02-06 08:32:00,Gurgaon
T300271,U103993,M201000,389.52,QR Code,Success,P2M,2024-05-01 20:29:52,Proddatur
T300272,U102506,M201532,1083.67,QR Code,Success,P2M,2024-11-05 19:57:30,Hindupur
T300273,U101537,M201960,277.8,Intent,Success,P2P,2024-08-24 21:55:49,Udaipur
T300274,U100397,M200243,190.72,QR Code,Success,P2M,2024-01-03 19:31:19,Fatehpur
T300275,U104715,M200220,1821.23,UPI,Success,P2M,2024-05-26 14:16:00,Orai
T300276,U103357,M201179,550.08,QR Code,Success,P2P,2024-03-15 17:59:20,Nellore
T300277,U105680,M201406,277.37,QR Code,Success,P2P,2024-03-19 12:25:27,Hosur
T300278,U101163,M201771,1052.65,UPI,Success,P2M,2024-02-15 15:09:06,Motihari
T300279,U104825,M201343,574.55,AutoPay,Success,P2P,2024-06-22 02:11:39,Medininagar
T300280,U100555,M200372,507.97,Intent,Success,P2M,2024-05-23 22:13:09,Meerut
T300281,U106048,M200530,651.97,Intent,Success,P2M,2024-05-24 00:45:08,Visakhapatnam
T300282,U106924,M200214,670.27,AutoPay,Success,P2M,2024-03-31 08:49:25,Sasaram
T300283,U103661,M200366,339.61,UPI,Success,P2P,2024-03-10 16:42:30,Tezpur
T300284,U101751,M200113,271.77,AutoPay,Success,P2M,2024-06-17 22:11:33,Ambala
T300285,U102941,M201223,1200.0,QR Code,Success,P2P,2024-09-13 12:42:26,Ramgarh
T300286,U102657,M200024,343.83,Intent,Success,P2M,2024-05-24 09:15:28,Amritsar
T300287,U102795,M200933,121.56,Intent,Success,P2M,2024-01-17 19:12:07,Mirzapur
T300288,U102329,M201144,368.66,Intent,Success,P2M,2024-03-12 07:18:27,Surendranagar Dudhrej
T300289,U106804,M201765,17.51,UPI,Success,P2M,2024-06-20 06:45:26,Guna
T300290,U105091,M200610,642.44,UPI,Success,P2M,2024-09-13 06:53:24,Kirari Suleman Nagar
T300291,U101959,M200857,67.9,QR Code,Success,P2P,2024-05-03 22:31:43,Tadipatri
